"cross_space","cross_run","p_obs","comm_stat","(0,0.33]","(0.33,0.66]","(0.66,1]","land_het","d","v","dcorr"
"mean","2.5%",0.7,"rich",1.5557861328125,2.5025146484375,10.018310546875,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.7,"abun",2.5644287109375,6.2941162109375,60.1307861328125,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.8,"rich",1.521435546875,2.43046875,10.5156494140625,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.8,"abun",2.55458984375,6.4418212890625,69.620751953125,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.9,"rich",1.5424072265625,2.407763671875,10.9921875,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",0.9,"abun",2.667529296875,6.7393310546875,79.288134765625,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",1,"rich",1.535693359375,2.3404541015625,11.3724853515625,0.000977517106549364,"a0.5","a0.5","16"
"mean","2.5%",1,"abun",2.725,6.919775390625,88.916064453125,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.1,"rich",2.1455078125,2.61572265625,1.6044921875,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.1,"abun",2.6396484375,4.04931640625,3.36376953125,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.2,"rich",1.96533203125,2.984375,4.486328125,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.2,"abun",2.58935546875,5.14990234375,12.1875,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.3,"rich",1.8388671875,2.95361328125,6.45068359375,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.3,"abun",2.544921875,5.60009765625,21.939453125,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.4,"rich",1.81005859375,2.86474609375,7.81640625,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.4,"abun",2.5712890625,5.8427734375,31.35107421875,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.5,"rich",1.79638671875,2.8359375,8.8251953125,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.5,"abun",2.69482421875,6.22802734375,40.966796875,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.6,"rich",1.71826171875,2.7470703125,9.6513671875,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.6,"abun",2.666015625,6.4541015625,50.611328125,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.7,"rich",1.77197265625,2.71923828125,10.30517578125,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.7,"abun",2.8046875,6.79296875,60.46923828125,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.8,"rich",1.7509765625,2.63916015625,10.85302734375,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.8,"abun",2.87646484375,6.9697265625,69.9443359375,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.9,"rich",1.755859375,2.60693359375,11.34619140625,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",0.9,"abun",2.9541015625,7.2490234375,79.62158203125,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",1,"rich",1.76708984375,2.5830078125,11.7578125,0.000977517106549364,"a0.5","a0.5","16"
"mean","50%",1,"abun",3.02685546875,7.52734375,89.31982421875,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.1,"rich",2.2213623046875,2.7669677734375,1.716943359375,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.1,"abun",2.7266357421875,4.165625,3.7725830078125,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.2,"rich",2.0857421875,3.149560546875,4.5570556640625,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.2,"abun",2.72548828125,5.425341796875,12.4849853515625,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.3,"rich",1.991796875,3.0329345703125,6.6902587890625,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.3,"abun",2.7723876953125,5.7222900390625,22.123486328125,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.4,"rich",1.9699951171875,2.993896484375,8.13779296875,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.4,"abun",2.8267822265625,6.048876953125,31.76826171875,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.5,"rich",1.92001953125,2.9068115234375,9.2181884765625,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.5,"abun",2.865869140625,6.3637451171875,41.33759765625,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.6,"rich",1.903564453125,2.8638916015625,10.0891845703125,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.6,"abun",2.9917724609375,6.6777587890625,51.2248779296875,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.7,"rich",1.9043701171875,2.8523681640625,10.7204833984375,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.7,"abun",3.0787841796875,6.903857421875,61.0079833984375,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.8,"rich",1.9194091796875,2.8147705078125,11.2933349609375,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.8,"abun",3.187451171875,7.165576171875,70.6850830078125,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.9,"rich",1.9387939453125,2.78857421875,11.728173828125,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",0.9,"abun",3.300390625,7.5541259765625,80.4301025390625,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",1,"rich",1.9760009765625,2.7330810546875,12.139599609375,0.000977517106549364,"a0.5","a0.5","16"
"mean","97.5%",1,"abun",3.45380859375,7.7851806640625,90.125048828125,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.1,"rich",1.88113356186614,1.95166046649713,0.754719192937439,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.1,"abun",3.3375412628681,5.85709217776301,5.21353114212946,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.2,"rich",2.02978916559751,2.43707503302939,1.7101681587167,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.2,"abun",4.3203485602624,10.0671841350119,17.1485181642534,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.3,"rich",1.88265348641404,2.5818725943915,2.26290324967162,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.3,"abun",4.73322171596255,12.8115672778058,24.410763761608,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.4,"rich",1.94907288611926,2.57587005227425,2.69166334940891,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.4,"abun",5.06435880987292,15.7007851400217,35.8644936003177,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.5,"rich",1.82092499942724,2.63926105816227,2.88464398426045,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.5,"abun",5.79440925128299,19.6976407137784,41.0695008696466,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.6,"rich",1.7926535389174,2.67741897299609,2.96711351799242,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.6,"abun",6.49449857859085,21.5503262845186,45.4032800281036,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.7,"rich",1.7109450652569,2.79811267125641,3.33844403428183,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.7,"abun",6.89066929374389,25.8043863932292,50.4346866790384,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.8,"rich",1.73371059384164,2.88224470002444,3.4775670324719,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.8,"abun",7.44444504902859,29.0861496135753,50.8620065400095,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.9,"rich",1.73807784720949,2.89296834429222,3.73919244581653,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",0.9,"abun",8.28771516831623,34.3754013881888,53.2146176753039,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",1,"rich",1.70608160740469,2.91479172394306,3.98268895004735,0.000977517106549364,"a0.5","a0.5","16"
"var","2.5%",1,"abun",8.98915948802542,38.8498563317143,52.5429401356687,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.1,"rich",2.05956124373778,2.27140943838587,0.834661668346774,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.1,"abun",3.69525665551686,6.546430153348,5.72280803244135,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.2,"rich",2.29630175876711,2.60652788596652,1.84758942754154,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.2,"abun",4.69454070060484,10.7070212266312,17.4970593345247,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.3,"rich",2.24266384866813,2.75582453186095,2.62602095170455,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.3,"abun",5.27864583333333,13.6302646551197,27.749907880468,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.4,"rich",2.07405598958333,2.94890707096163,3.12548875855327,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.4,"abun",5.72017809139785,17.0086372800587,37.570090076674,0.000977517106549364,"a0.5","a0.5","16"
"var","50%",0.5,"rich",2.15612160541911,3.06509557520772,3.35235577804252,0.000977517106549364,"a0.5","a0.5","16"
